x1,x2,x3,x4,x5,x6,x7,x8,Tot-Deformation-Max,Stress-Max,Life-Min,Mass,Volume
184.416,20.49,55.256,26.495,5.905,28.688,61.72,78.785,0.164460366,127.0833176,1.11E+07,1.327316679,1.69E+05
140.946,24.537,36.061,16.396,12.346,27.426,22.303,57.45,0.161766188,124.9629611,1.55E+07,1.448086787,1.84E+05
179.596,30.946,41.745,29.782,24.704,24.399,29.791,46.126,0.162297314,125.7034588,1.38E+07,1.338254052,1.70E+05
210.986,10.35,32.212,40.413,23.456,61.145,49.293,43.877,0.162067106,125.2098674,1.49E+07,1.420356892,1.81E+05
82.327,27.91,33.218,24.302,10.437,50.986,27.503,28.74,0.161147373,124.5580987,1.65E+07,1.472460553,1.88E+05
87.771,21.841,51.226,38.264,9.359,86.261,11.377,97.262,0.16228857,125.1312793,1.51E+07,1.445703879,1.84E+05
70.179,37.417,53.09,41.002,9.718,55.354,53.761,39.849,0.162199171,125.7539539,1.37E+07,1.412499353,1.80E+05
148.216,23.208,58.306,35.51,19.81,25.281,77.079,8.09,0.161510439,125.0831892,1.52E+07,1.378233913,1.76E+05
202.901,12.266,42.022,18.039,23.902,65.679,65.633,66.542,0.16358734,126.2955496,1.26E+07,1.37911509,1.76E+05
218.033,20.953,45.848,29.57,6.706,38.151,71.184,70.085,0.164301678,127.0196435,1.12E+07,1.340161127,1.71E+05
197.733,37.178,36.967,17.596,20.724,93.936,24.171,18.88,0.161411263,125.0640565,1.52E+07,1.355156161,1.73E+05
195.431,14.248,35.085,29.389,11.439,80.514,39.146,89.035,0.163554578,126.1091226,1.29E+07,1.397995369,1.78E+05
74.606,16.105,53.541,32.177,16.741,11.798,78.917,18.253,0.161464728,124.836275,1.58E+07,1.469816817,1.87E+05
80.45,23.42,56.428,32.848,18.314,50.112,40.679,82.856,0.163232152,125.919036,1.33E+07,1.40184296,1.79E+05
158.898,30.405,41.667,28.62,14.029,9.278,54.779,27.582,0.16224174,125.7182175,1.37E+07,1.348600689,1.72E+05
108.479,7.345,31.413,41.507,19.5,16.341,68.877,71.451,0.163870218,126.4181339,1.23E+07,1.415292274,1.80E+05
146.556,17.956,52.78,22.05,18.485,13.327,42.266,44.788,0.161932951,125.1541604,1.50E+07,1.442882993,1.84E+05
126.797,5.661,37.939,19.813,21.557,20.723,15.513,30.21,0.160967614,124.3669373,1.70E+07,1.51254906,1.93E+05
137.528,17.15,30.261,18.861,17.657,87.649,7.652,31.977,0.160904232,124.3254946,1.71E+07,1.466689187,1.87E+05
222.739,3.631,59.653,33.996,7.479,81.122,12.022,69.287,0.161575705,124.7622714,1.60E+07,1.475427084,1.88E+05
181.448,11.588,34.428,36.172,5.288,35.968,45.945,58.451,0.162606789,125.6366619,1.39E+07,1.419347742,1.81E+05
209.021,11.168,22.329,22.96,22.382,53.62,9.378,68.083,0.161505658,124.6706174,1.62E+07,1.46739624,1.87E+05
225.56,4.89,54.073,20.604,9.571,71.641,56.916,89.691,0.164411958,126.6603745,1.19E+07,1.402201705,1.79E+05
250.843,5.97,24.126,24.637,10.809,30.119,14.663,20.583,0.160901745,124.3831928,1.69E+07,1.505985445,1.92E+05
238.464,18.779,39.246,19.718,5.595,29.292,8.439,81.081,0.161920212,125.0389708,1.53E+07,1.439637098,1.83E+05
121.436,22.779,46.474,23.338,21.994,78.936,30.437,96.725,0.163363527,125.7979114,1.36E+07,1.391932224,1.77E+05
163.848,34.463,57.433,20.843,10.891,10.013,33.896,49.974,0.162650154,126.0277918,1.31E+07,1.324627941,1.69E+05
65.585,27.548,44.217,34.887,6.211,69.585,74.573,35.285,0.162215164,125.4550804,1.43E+07,1.433500095,1.83E+05
132.744,4.217,51.564,37.224,17.418,28.163,11.214,68.347,0.161502933,124.6472264,1.62E+07,1.486029206,1.89E+05
205.737,31.384,34.895,31.829,17.281,82.443,22.199,40.459,0.161741464,125.2445017,1.48E+07,1.365253145,1.74E+05
155.174,6.352,54.617,19.404,15.813,23.476,67.859,79.854,0.164417175,126.8085511,1.16E+07,1.392512375,1.77E+05
150.388,14.705,55.772,25.66,16.435,30.769,27.068,11.488,0.16104901,124.6053265,1.63E+07,1.440206848,1.83E+05
71.998,12.735,59.945,26.837,8.835,34.583,9.531,91.483,0.161960068,124.8504956,1.57E+07,1.48667856,1.89E+05
144.857,10.641,40.207,26.295,18.541,19.675,45.648,61.908,0.162574101,125.5255069,1.42E+07,1.445734132,1.84E+05
192.398,29.479,30.992,33.747,17.118,18.132,20.635,53.118,0.161881819,125.2718292,1.47E+07,1.39991699,1.78E+05
254.937,24.209,33.725,32.683,7.725,24.747,19.919,24.005,0.161414467,124.9628768,1.55E+07,1.403463637,1.79E+05
160.903,12.052,56.888,31.425,13.42,7.424,15.607,21.334,0.161052183,124.5845525,1.64E+07,1.454282683,1.85E+05
68.083,33.02,22.393,30.58,8.584,87.101,60.469,90.391,0.164611394,126.8283585,1.16E+07,1.379853739,1.76E+05
171.49,8.002,43.945,16.569,19.468,42.481,62.402,60.128,0.163126532,125.9676659,1.32E+07,1.414366276,1.80E+05
188.907,32.729,45.335,18.758,11.883,63.025,64.803,85.569,0.165197877,127.6094251,1.03E+07,1.297805693,1.65E+05
