alg,fid,dim,seed,f
WOA,4,10,2031,881.1680598612022
WOA,4,10,2032,938.0
WOA,4,10,2033,895.7561023714461
WOA,4,10,2034,874.1910534119686
WOA,4,10,2035,863.1899550202277
WOA,4,10,2036,894.3071679703409
WOA,4,10,2037,910.5
WOA,4,10,2038,928.6580426847016
WOA,4,10,2039,899.9408531265053
WOA,4,10,2040,894.0
WOA,4,10,2041,915.0635979862824
WOA,4,10,2042,914.0
WOA,4,10,2043,858.0
WOA,4,10,2044,904.5193803334048
WOA,4,10,2045,910.1482842938796
WOA,4,10,2046,918.0
WOA,4,10,2047,843.5122831598462
WOA,4,10,2048,878.0
WOA,4,10,2049,877.7340428756431
WOA,4,10,2050,964.5
WOA,4,10,2051,872.6345496288725
WOA,4,10,2052,898.0
WOA,4,10,2053,836.0178161474627
WOA,4,10,2054,937.7855504246731
WOA,4,10,2055,930.5
WOA,6,10,2026,18734.42156131579
WOA,6,10,2027,14273.791386381976
WOA,6,10,2028,35193.185502487715
WOA,6,10,2029,15161.462480292774
WOA,6,10,2030,33903.2816653012
WOA,6,10,2031,22401.8944763201
WOA,6,10,2032,55133.068520993176
WOA,6,10,2033,3885.113115437005
WOA,6,10,2034,14203.3238893032
WOA,6,10,2035,16958.03555986604
WOA,6,10,2036,10047.560416444803
WOA,6,10,2037,32024.700387411616
WOA,6,10,2038,27835.581516366423
WOA,6,10,2039,6517.887075545918
WOA,6,10,2040,13805.007659312309
WOA,6,10,2041,42875.53540399777
WOA,6,10,2042,33059.49842447604
WOA,6,10,2043,33469.950015126524
WOA,6,10,2044,20975.941935973085
WOA,6,10,2045,5766.343779708783
WOA,6,10,2046,21348.994500969417
WOA,6,10,2047,57429.17153832717
WOA,6,10,2048,6350.090007007777
WOA,6,10,2049,27084.647555162926
WOA,6,10,2050,18393.36367203465
WOA,6,10,2051,41818.99476234228
WOA,6,10,2052,42742.01469452759
WOA,6,10,2053,25979.12559013617
WOA,6,10,2054,49169.583867981884
WOA,6,10,2055,33940.852055874115
WOA,7,10,2026,2241.059708694732
WOA,7,10,2027,2333.058974072858
WOA,7,10,2028,2595.7850473286967
WOA,7,10,2029,2218.020545732833
WOA,7,10,2030,2147.3310810345665
WOA,7,10,2031,2451.479393501057
WOA,7,10,2032,2218.4383475233367
WOA,7,10,2033,2221.745936803704
WOA,7,10,2034,2035.1860415914227
WOA,7,10,2035,2148.405804485305
WOA,7,10,2036,2272.933033502516
WOA,7,10,2037,2309.7077393740387
WOA,7,10,2038,2527.5016665977905
WOA,7,10,2039,2508.3028014725182
WOA,7,10,2040,2221.970472437919
WOA,7,10,2041,2199.434339029357
WOA,7,10,2042,2749.0752165414888
WOA,7,10,2043,2069.258398000871
WOA,7,10,2044,2641.043746649818
WOA,7,10,2045,2213.544544749277
WOA,7,10,2046,2204.213178387509
WOA,7,10,2047,2082.591724201165
WOA,7,10,2048,2086.215503216159
WOA,7,10,2049,2080.3202295549854
WOA,7,10,2050,2341.077586065503
WOA,7,10,2051,2269.508831688285
WOA,7,10,2052,2159.1095480565214
WOA,7,10,2053,2074.2728843580794
WOA,7,10,2054,2190.2798142222973
WOA,7,10,2055,2203.38999807558
WOA,12,10,2026,2910.26196696498
WOA,12,10,2027,3317.4106749878733
WOA,12,10,2028,2878.5381872707253
WOA,12,10,2029,3021.210742295092
WOA,12,10,2030,2960.962115565843
WOA,12,10,2031,2964.9019288925792
WOA,12,10,2032,2921.5463456030743
WOA,12,10,2033,3025.211823949783
WOA,12,10,2034,3072.777473858454
WOA,12,10,2035,2946.4652446127284
WOA,12,10,2036,3006.4772473006446
WOA,12,10,2037,2894.589540376041
WOA,12,10,2038,3055.0074866724244
WOA,12,10,2039,2929.128259383111
WOA,12,10,2040,2872.6298533769946
WOA,12,10,2041,2875.7161430137976
WOA,12,10,2042,2964.90192889258
WOA,12,10,2043,2963.857402723562
WOA,12,10,2044,2934.548321096184
WOA,12,10,2045,3020.3558603997767
WOA,12,10,2046,3243.601718389433
WOA,12,10,2047,3207.950766331508
WOA,12,10,2048,3100.058749500068
WOA,12,10,2049,3074.508511748502
WOA,12,10,2050,2987.24926664324
WOA,12,10,2051,3265.175840017013
WOA,12,10,2052,3109.280665859793
WOA,12,10,2053,3093.693664325475
WOA,12,10,2054,2871.209089838804
WOA,12,10,2055,2872.196202495413
HHO,4,10,2026,926.5
HHO,4,10,2027,888.5
HHO,4,10,2028,844.0
HHO,4,10,2029,848.0
HHO,4,10,2030,860.0
HHO,4,10,2031,840.0
HHO,4,10,2032,854.0
HHO,4,10,2033,852.0
HHO,4,10,2034,842.0003313395802
HHO,4,10,2035,826.0004092659555
HHO,4,10,2036,846.0
HHO,4,10,2037,836.0000000002357
HHO,4,10,2038,844.0000071582185
HHO,4,10,2039,850.0
HHO,4,10,2040,834.000577317852
HHO,4,10,2041,848.0
HHO,4,10,2042,914.5
HHO,4,10,2043,884.0
HHO,4,10,2044,850.0000000000009
HHO,4,10,2045,890.0
HHO,4,10,2046,850.0000000000001
HHO,4,10,2047,850.0000000037271
HHO,4,10,2048,904.500018167976
HHO,4,10,2049,890.5
HHO,4,10,2050,842.0
HHO,4,10,2051,880.0
HHO,4,10,2052,924.5000804665844
HHO,4,10,2053,838.0139643341508
HHO,4,10,2054,862.0022169597593
HHO,4,10,2055,850.0000000000007
HHO,6,10,2026,22610.74074280519
HHO,6,10,2027,21119.54549048958
HHO,6,10,2028,69217.4782579637
HHO,6,10,2029,19703.42272482487
HHO,6,10,2030,39390.387350846766
HHO,6,10,2031,65141.542845578726
HHO,6,10,2032,13269.471654468553
HHO,6,10,2033,7289.234057458592
HHO,6,10,2034,110972.36185201487
HHO,6,10,2035,52550.97416066659
HHO,6,10,2036,21937.09363917074
HHO,6,10,2037,69692.05385377561
HHO,6,10,2038,42424.3486254801
HHO,6,10,2039,14019.325604945438
HHO,6,10,2040,26528.12309834344
HHO,6,10,2041,43709.33569436565
HHO,6,10,2042,37140.202764778885
HHO,6,10,2043,63989.674985191545
HHO,6,10,2044,30033.286117643267
HHO,6,10,2045,19890.2613750858
HHO,6,10,2046,38134.18772495556
HHO,6,10,2047,18489.91480873408
HHO,6,10,2048,35809.8338323061
HHO,6,10,2049,67131.5899597356
HHO,6,10,2050,47546.72695582808
HHO,6,10,2051,37782.4212067253
HHO,6,10,2052,25916.15115722005
HHO,6,10,2053,18640.073755970174
HHO,6,10,2054,79580.6115587049
HHO,6,10,2055,64757.41535635908
HHO,7,10,2026,2396.8109211780807
HHO,7,10,2027,2116.2070853051346
HHO,7,10,2028,2291.33344712399
HHO,7,10,2029,2079.7545335384407
HHO,7,10,2030,2223.947543785054
HHO,7,10,2031,2168.6975350888297
HHO,7,10,2032,2304.390961935294
HHO,7,10,2033,2696.376933762457
HHO,7,10,2034,2162.7709896043807
HHO,7,10,2035,2159.233984989532
HHO,7,10,2036,2118.831813933166
HHO,7,10,2037,2280.6307588636173
HHO,7,10,2038,2431.8239353485765
HHO,7,10,2039,2049.588800044767
HHO,7,10,2040,2225.5801248206994
HHO,7,10,2041,2222.915829424405
HHO,7,10,2042,2436.7163152324374
HHO,7,10,2043,2131.9617818858
HHO,7,10,2044,2320.841746381715
HHO,7,10,2045,2195.6621840396047
HHO,7,10,2046,2094.544588993381
HHO,7,10,2047,2032.1446310211809
HHO,7,10,2048,2211.292507315691
HHO,7,10,2049,2156.602292544305
HHO,7,10,2050,2662.10109357734
HHO,7,10,2051,2209.6613667197603
HHO,7,10,2052,2306.6235293698583
HHO,7,10,2053,2084.043563418811
HHO,7,10,2054,2389.2068150756286
HHO,7,10,2055,2062.9437129313687
HHO,12,10,2026,2949.820425467085
HHO,12,10,2027,3219.7203847185992
HHO,12,10,2028,3125.055275911219
HHO,12,10,2029,2957.4698532874136
